z,mu,sig
0.21887,40.1292,0.218822
0.21886,40.0296,0.130815
0.21943,40.0048,0.208962
0.21935,40.1098,0.160031
0.21982,40.0616,0.124319
0.21967,40.0882,0.173376
0.21976,40.2387,0.220195
0.22005,39.9228,0.242946
0.22055,40.1876,0.225274
0.22069,40.0798,0.266821
0.22141,40.0441,0.143254
0.22141,40.0588,0.204756
0.22157,40.1937,0.166162
0.22287,40.3257,0.281229
0.22335,40.1511,0.167278
0.22373,40.0162,0.172818
0.22451,40.1293,0.19721
0.22451,39.9449,0.245775
0.22482,40.1126,0.160616
0.22552,40.1491,0.174035
0.22534,40.1329,0.188923
0.22536,40.1856,0.197444
0.22563,39.9865,0.175963
0.22632,40.3912,0.201078
0.22714,40.097,0.228488
0.22806,40.2236,0.183395
0.22853,40.1604,0.308241
0.22917,40.2229,0.202405
0.22967,40.1351,0.188066
0.23006,40.1283,0.227444
0.23044,40.3062,0.260109
0.23066,40.0717,0.296847
0.23075,40.1049,0.204707
0.23083,40.2958,0.226289
0.23111,40.3169,0.189753
0.2315,40.201,0.226906
0.23171,40.0875,0.237265
0.23212,40.2045,0.159507
0.23269,39.8341,0.180906
0.23356,40.1857,0.255059
0.23364,40.4148,0.19637
0.23381,40.1788,0.292139
0.23381,40.1389,0.214099
0.23475,40.1912,0.32799
0.23471,40.2784,0.167703
0.23483,40.158,0.183242
0.23508,40.1629,0.275154
0.23543,40.2336,0.214202
0.2363,40.3805,0.155735
0.23649,40.2636,0.156727
0.23653,40.4674,0.193131
0.23671,40.119,0.236651
0.23684,40.2279,0.210237
0.23711,40.2245,0.203948
0.23735,40.7365,0.305716
0.23776,40.2317,0.172272
0.23954,39.9059,0.208409
0.23971,40.13,0.180786
0.24004,40.3847,0.264226
0.24072,40.4016,0.166736
0.24106,40.3291,0.130654
0.24153,40.1214,0.184136
0.24151,40.172,0.261675
0.24207,40.564,0.221356
0.24267,40.4217,0.219858
0.24271,40.5734,0.259119
0.24316,40.2516,0.143114
0.24341,40.538,0.306318
0.24405,40.2956,0.242814
0.24436,40.2064,0.221704
0.24449,40.1263,0.186144
0.24497,40.3336,0.209543
0.24512,40.4957,0.181643
0.24539,40.3582,0.219468
0.24594,40.4318,0.167359
0.24604,40.3473,0.149416
0.24637,40.378,0.17135
0.24643,40.2829,0.214739
0.24649,40.3907,0.15515
0.24701,40.1983,0.137434
0.24835,40.203,0.17717
0.24848,40.4912,0.215929
0.24848,40.4276,0.195634
0.24851,40.3657,0.261564
0.24853,40.3256,0.178325
0.24883,40.427,0.180619
0.24899,40.3167,0.167358
0.24961,40.6733,0.220606
0.24973,40.2961,0.206796
0.24974,40.3915,0.163714
0.25004,40.5965,0.224495
0.25008,40.3764,0.218218
0.2503,40.4145,0.179616
0.25037,40.5692,0.188725
0.25052,40.3009,0.188277
0.25077,40.3873,0.202604
0.25191,40.4698,0.207347
0.25247,40.4622,0.166497
0.25249,40.4066,0.259149
0.25319,40.3688,0.15705
0.25345,40.0303,0.262822
0.25394,40.4546,0.167762
0.25605,40.6458,0.194176
0.25609,40.5593,0.271675
0.25625,40.3729,0.207312
0.25672,40.5023,0.251739
0.25721,40.5776,0.249962
0.25723,40.4941,0.193606
